dataset_name,model_name,metric_name,metric_value,source_label,task_type,metric_direction
bitcoin_forecasting_preview_1,NaiveLastValue,smape,0.38,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_2,NaiveLastValue,smape,0.41,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_1,LaggedRidgeForecaster,smape,0.42,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_2,LaggedRidgeForecaster,smape,0.45,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_1,KernelEnsembleForecaster_identity_shapelet,smape,0.46,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_2,KernelEnsembleForecaster_identity_shapelet,smape,0.49,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_1,KernelEnsembleForecaster_embedding_nystrom_okhs,smape,0.5,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_2,KernelEnsembleForecaster_embedding_nystrom_okhs,smape,0.53,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_1,KernelEnsembleForecaster,smape,0.54,bitcoin_forecasting_current_api_preview,forecasting,lower
bitcoin_forecasting_preview_2,KernelEnsembleForecaster,smape,0.57,bitcoin_forecasting_current_api_preview,forecasting,lower
