dataset_name,model_name,metric_name,metric_value,source_label,task_type,metric_direction
eeg_classification_preview_1,KernelEnsembleClassifier_score_baseline_summary,accuracy,0.9,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,KernelEnsembleClassifier_score_baseline_summary,accuracy,0.88,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,KernelEnsembleClassifier_adaptive_all_non_topological,accuracy,0.86,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,KernelEnsembleClassifier_adaptive_all_non_topological,accuracy,0.84,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,KernelEnsembleClassifier_shapelet_motif_rbf,accuracy,0.82,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,KernelEnsembleClassifier_shapelet_motif_rbf,accuracy,0.8,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,KernelEnsembleClassifier_embedding_nystrom,accuracy,0.78,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,KernelEnsembleClassifier_embedding_nystrom,accuracy,0.76,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,KernelEnsembleClassifier,accuracy,0.74,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,KernelEnsembleClassifier,accuracy,0.72,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,PDLClassifier,accuracy,0.7,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,PDLClassifier,accuracy,0.68,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_1,NearestCentroid,accuracy,0.66,eeg_classification_current_api_preview,ts_classification,higher
eeg_classification_preview_2,NearestCentroid,accuracy,0.64,eeg_classification_current_api_preview,ts_classification,higher
