dataset_name,model_name,metric_name,metric_value,source_label,task_type,metric_direction
environment_regression_preview_1,KernelEnsembleRegressor_score_linear_summary,rmse,0.38,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,KernelEnsembleRegressor_score_linear_summary,rmse,0.41,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_1,KernelEnsembleRegressor_adaptive_rbf_summary,rmse,0.42,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,KernelEnsembleRegressor_adaptive_rbf_summary,rmse,0.45,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_1,KernelEnsembleRegressor_shapelet_rbf,rmse,0.46,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,KernelEnsembleRegressor_shapelet_rbf,rmse,0.49,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_1,KernelEnsembleRegressor_embedding_nystrom,rmse,0.5,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,KernelEnsembleRegressor_embedding_nystrom,rmse,0.53,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_1,KernelEnsembleRegressor,rmse,0.54,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,KernelEnsembleRegressor,rmse,0.57,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_1,LinearRegressor,rmse,0.58,environment_regression_current_api_preview,ts_regression,lower
environment_regression_preview_2,LinearRegressor,rmse,0.61,environment_regression_current_api_preview,ts_regression,lower
