dates,Гренландское,Восточно-Сибирское,Чукотское,Берингово,Лаптевых,Карское,Баренцево
1990-01-01,528612,1261652,1053108,1635620,765576,852796,524888
1990-01-02,507052,1261652,1053108,1635424,765576,850248,548016
1990-01-03,500192,1261652,1050168,1635816,765576,852600,551152
1990-01-04,537432,1261652,1045660,1634836,765576,857892,530376
1990-01-05,541156,1261260,1047032,1633464,765576,857696,528612
1990-01-06,509992,1261260,1050952,1635032,765576,857500,529004
1990-01-07,479416,1261260,1053108,1635620,765576,858284,526260
1990-01-08,476084,1261260,1053108,1636404,765576,858480,523712
1990-01-09,421400,1261652,1053108,1635816,765576,857500,522536
1990-01-10,402780,1261064,1053108,1636992,765184,857696,518028
1990-01-11,421596,1260868,1053108,1636404,765576,856324,515676
1990-01-12,395920,1260672,1053108,1636600,765576,853972,518224
1990-01-13,391608,1260476,1053108,1635620,765576,856324,530180
1990-01-14,401408,1261064,1051540,1636404,765576,856912,529788
1990-01-15,440412,1261456,1052128,1636600,765576,858088,486668
1990-01-16,465304,1261652,1051344,1638364,765576,855344,439628
1990-01-17,473144,1261652,1049972,1638364,764204,852012,409836
1990-01-18,490784,1261652,1048600,1638364,762244,852796,414540
1990-01-19,487648,1261652,1047816,1637972,764596,853972,426692
1990-01-20,475104,1261652,1044876,1637972,764008,851816,440804
1990-01-21,489804,1261652,1040564,1638560,762048,852012,455700
1990-01-22,482944,1260672,1034292,1638560,763224,852404,451780
1990-01-23,440216,1260868,1040368,1638560,763616,852600,443940
1990-01-24,408856,1260868,1047816,1638560,763812,848876,449820
1990-01-25,390040,1261064,1052716,1638560,764596,848092,451780
1990-01-26,409836,1261260,1053108,1637776,765576,849856,444136
1990-01-27,412384,1261456,1053108,1638560,765576,853776,425908
1990-01-28,427280,1261652,1053108,1638560,765576,854168,429240
1990-01-29,431396,1261652,1053108,1637188,765576,855344,458444
1990-01-30,427280,1261652,1053108,1636208,765576,854168,502936
1990-01-31,421204,1261652,1052128,1636992,765576,853776,543900
1990-02-01,405720,1261652,1050168,1637972,765576,857696,558012
1990-02-02,418264,1261260,1042524,1637188,765576,858088,539196
1990-02-03,415520,1261260,1050364,1638560,765576,855344,478044
1990-02-04,417088,1261260,1053108,1638560,759304,847896,419048
1990-02-05,415912,1261064,1053108,1638560,749112,842996,374360
1990-02-06,409444,1260868,1053108,1638560,749896,839076,316736
1990-02-07,423360,1260868,1053108,1638560,748916,827904,262444
1990-02-08,452956,1261260,1053108,1638560,744212,780472,239904
1990-02-09,452172,1261260,1053108,1638560,748132,748916,240492
1990-02-10,449624,1261456,1053108,1638560,754404,780668,282240
1990-02-11,431004,1261456,1053108,1638560,754208,814968,335356
1990-02-12,429828,1261652,1053108,1638560,757736,845348,397096
1990-02-13,433356,1261652,1053108,1638560,764596,855148,450016
1990-02-14,421008,1261652,1053108,1638364,765576,857696,495488
1990-02-15,420616,1261260,1053108,1638560,765576,858480,526848
1990-02-16,413168,1261652,1053108,1638560,765576,858284,490588
1990-02-17,421596,1261652,1053108,1638560,765380,858088,488236
1990-02-18,409248,1261456,1053108,1638560,764008,848484,409444
1990-02-19,411796,1261456,1053108,1638560,762832,834176,359464
1990-02-20,402192,1261260,1053108,1638560,765380,812616,321244
1990-02-21,426692,1261456,1053108,1638560,764988,812616,335748
1990-02-22,430808,1261456,1053108,1638560,765184,823200,363580
1990-02-23,437864,1261652,1053108,1638560,765380,818300,394352
1990-02-24,449820,1261652,1053108,1638560,765380,827904,439824
1990-02-25,444332,1261652,1053108,1637384,765576,838684,474124
