idx,value,label
1989-12-31 12:00:00,2815.219,Y30
1990-12-31 12:00:00,2872.962,Y30
1991-12-31 12:00:00,2967.797,Y30
1992-12-31 12:00:00,3033.697,Y30
1993-12-31 12:00:00,3103.413,Y30
1994-12-31 12:00:00,3171.19,Y30
1995-12-31 12:00:00,3240.714,Y30
1996-12-31 12:00:00,3310.781,Y30
1997-12-31 12:00:00,3383.463,Y30
1998-12-31 12:00:00,3506.976,Y30
1999-12-31 12:00:00,3694.991,Y30
2000-12-31 12:00:00,3794.95,Y30
2001-12-31 12:00:00,3866.588,Y30
2002-12-31 12:00:00,3871.611,Y30
2003-12-31 12:00:00,3896.205,Y30
2004-12-31 12:00:00,3948.334,Y30
2005-12-31 12:00:00,4026.801,Y30
2006-12-31 12:00:00,4124.802,Y30
2007-12-31 12:00:00,4427.045,Y30
2008-12-31 12:00:00,4326.569,Y30
2009-12-31 12:00:00,4352.551,Y30
2010-12-31 12:00:00,4408.16,Y30
2011-12-31 12:00:00,4450.216,Y30
2012-12-31 12:00:00,4490.119,Y30
2013-12-31 12:00:00,4552.869,Y30
1989-12-31 12:00:00,2929.463,Y37
1990-12-31 12:00:00,2991.189,Y37
1991-12-31 12:00:00,3036.968,Y37
1992-12-31 12:00:00,3049.555,Y37
1993-12-31 12:00:00,3078.156,Y37
1994-12-31 12:00:00,3063.687,Y37
1995-12-31 12:00:00,3100.691,Y37
1996-12-31 12:00:00,3150.507,Y37
1997-12-31 12:00:00,3176.699,Y37
1998-12-31 12:00:00,3220.93,Y37
1999-12-31 12:00:00,3313.833,Y37
2000-12-31 12:00:00,3340.854,Y37
2001-12-31 12:00:00,3363.527,Y37
2002-12-31 12:00:00,3375.198,Y37
2003-12-31 12:00:00,3395.998,Y37
2004-12-31 12:00:00,3446.932,Y37
2005-12-31 12:00:00,3500.501,Y37
2006-12-31 12:00:00,3583.382,Y37
2007-12-31 12:00:00,3967.057,Y37
2008-12-31 12:00:00,3751.41,Y37
2009-12-31 12:00:00,3742.367,Y37
2010-12-31 12:00:00,3776.237,Y37
2011-12-31 12:00:00,3798.934,Y37
2012-12-31 12:00:00,3798.104,Y37
2013-12-31 12:00:00,3831.152,Y37
2048-12-31 12:00:00,344.0,Y54
2049-12-31 12:00:00,373.0,Y54
2050-12-31 12:00:00,411.0,Y54
2051-12-31 12:00:00,469.0,Y54
2052-12-31 12:00:00,511.0,Y54
2053-12-31 12:00:00,565.0,Y54
2054-12-31 12:00:00,615.0,Y54
2055-12-31 12:00:00,655.0,Y54
2056-12-31 12:00:00,728.0,Y54
2057-12-31 12:00:00,786.0,Y54
2058-12-31 12:00:00,851.0,Y54
2059-12-31 12:00:00,906.0,Y54
2060-12-31 12:00:00,977.0,Y54
2061-12-31 12:00:00,1047.0,Y54
2062-12-31 12:00:00,1120.0,Y54
2063-12-31 12:00:00,1188.0,Y54
2064-12-31 12:00:00,1283.0,Y54
2065-12-31 12:00:00,1379.0,Y54
2066-12-31 12:00:00,1482.0,Y54
2067-12-31 12:00:00,1606.0,Y54
2068-12-31 12:00:00,1740.0,Y54
2069-12-31 12:00:00,1921.0,Y54
2070-12-31 12:00:00,2150.0,Y54
2071-12-31 12:00:00,2356.0,Y54
2072-12-31 12:00:00,2572.0,Y54
2073-12-31 12:00:00,2927.0,Y54
2074-12-31 12:00:00,3278.0,Y54
2075-12-31 12:00:00,3750.0,Y54
2076-12-31 12:00:00,4170.0,Y54
2077-12-31 12:00:00,4856.0,Y54
2078-12-31 12:00:00,5742.0,Y54
2079-12-31 12:00:00,6692.0,Y54
2080-12-31 12:00:00,7563.0,Y54
2081-12-31 12:00:00,8340.0,Y54
2082-12-31 12:00:00,9071.0,Y54
2083-12-31 12:00:00,9765.0,Y54
2084-12-31 12:00:00,10836.0,Y54
2085-12-31 12:00:00,12355.0,Y54
2086-12-31 12:00:00,13979.0,Y54
2087-12-31 12:00:00,15927.0,Y54
2050-12-31 12:00:00,447.322375,Y407
2051-12-31 12:00:00,456.32921875,Y407
2052-12-31 12:00:00,463.00040625,Y407
2053-12-31 12:00:00,491.77128125,Y407
2054-12-31 12:00:00,509.24078125,Y407
2055-12-31 12:00:00,527.388,Y407
2056-12-31 12:00:00,540.2270625,Y407
2057-12-31 12:00:00,551.1556875,Y407
2058-12-31 12:00:00,558.131625,Y407
2059-12-31 12:00:00,575.0655,Y407
2060-12-31 12:00:00,605.2570625,Y407
2061-12-31 12:00:00,622.6404375,Y407
2062-12-31 12:00:00,631.0258125,Y407
2063-12-31 12:00:00,652.7809375,Y407
2064-12-31 12:00:00,691.5180625,Y407
2065-12-31 12:00:00,711.280625,Y407
2066-12-31 12:00:00,729.199625,Y407
2067-12-31 12:00:00,750.3265,Y407
2068-12-31 12:00:00,779.40375,Y407
2069-12-31 12:00:00,795.5941875,Y407
2070-12-31 12:00:00,818.438875,Y407
2071-12-31 12:00:00,832.6074375,Y407
2072-12-31 12:00:00,858.3155,Y407
2073-12-31 12:00:00,896.1098125,Y407
2074-12-31 12:00:00,846.0199375,Y407
