split,step,model_name,value
history,0,actual_history,10.0
history,1,actual_history,10.999
history,2,actual_history,11.8616
history,3,actual_history,12.4807
history,4,actual_history,12.8001
history,5,actual_history,12.8236
history,6,actual_history,12.6101
history,7,actual_history,12.2553
history,8,actual_history,11.8656
history,9,actual_history,11.5318
history,10,actual_history,11.3086
history,11,actual_history,11.206
history,12,actual_history,11.1933
history,13,actual_history,11.2158
history,14,actual_history,11.2168
history,15,actual_history,11.1608
history,16,actual_history,11.0483
history,17,actual_history,10.9205
history,18,actual_history,10.85
history,19,actual_history,10.9214
history,20,actual_history,11.206
history,21,actual_history,11.7382
history,22,actual_history,12.5003
history,23,actual_history,13.4202
history,24,actual_history,14.3829
history,25,actual_history,15.2541
history,26,actual_history,15.909
history,27,actual_history,16.2606
history,28,actual_history,16.2787
history,29,actual_history,15.996
history,30,actual_history,15.4993
history,31,actual_history,14.908
history,32,actual_history,14.3464
history,33,actual_history,13.916
history,34,actual_history,13.6748
history,35,actual_history,13.6299
actual,36,actual,13.7431
actual,37,actual,13.9486
actual,38,actual,14.1763
actual,39,actual,14.3756
actual,40,actual,14.5308
actual,41,actual,14.6657
actual,42,actual,14.8345
actual,43,actual,15.1031
actual,44,actual,15.5255
actual,45,actual,16.1213
actual,46,actual,16.8633
actual,47,actual,17.6768
forecast,36,NaiveLastValue,14.0231
forecast,37,NaiveLastValue,14.334
forecast,38,NaiveLastValue,14.6456
forecast,39,NaiveLastValue,14.8905
forecast,40,NaiveLastValue,15.0435
forecast,41,NaiveLastValue,15.129
forecast,42,NaiveLastValue,15.2111
forecast,43,NaiveLastValue,15.3734
forecast,44,NaiveLastValue,15.6915
forecast,45,NaiveLastValue,16.2062
forecast,46,NaiveLastValue,16.9066
forecast,47,NaiveLastValue,17.7267
forecast,36,LaggedRidgeForecaster,14.0331
forecast,37,LaggedRidgeForecaster,14.3103
forecast,38,LaggedRidgeForecaster,14.5769
forecast,39,LaggedRidgeForecaster,14.7744
forecast,40,LaggedRidgeForecaster,14.8873
forecast,41,LaggedRidgeForecaster,14.9482
forecast,42,LaggedRidgeForecaster,15.0263
forecast,43,LaggedRidgeForecaster,15.2058
forecast,44,LaggedRidgeForecaster,15.5588
forecast,45,LaggedRidgeForecaster,16.1191
forecast,46,LaggedRidgeForecaster,16.8667
forecast,47,LaggedRidgeForecaster,17.7257
forecast,36,KernelEnsembleForecaster_identity_shapelet,13.9972
forecast,37,KernelEnsembleForecaster_identity_shapelet,14.235
forecast,38,KernelEnsembleForecaster_identity_shapelet,14.4611
forecast,39,KernelEnsembleForecaster_identity_shapelet,14.6254
forecast,40,KernelEnsembleForecaster_identity_shapelet,14.7192
forecast,41,KernelEnsembleForecaster_identity_shapelet,14.7789
forecast,42,KernelEnsembleForecaster_identity_shapelet,14.8738
forecast,43,KernelEnsembleForecaster_identity_shapelet,15.0849
forecast,44,KernelEnsembleForecaster_identity_shapelet,15.4779
forecast,45,KernelEnsembleForecaster_identity_shapelet,16.0783
forecast,46,KernelEnsembleForecaster_identity_shapelet,16.858
forecast,47,KernelEnsembleForecaster_identity_shapelet,17.7347
forecast,36,KernelEnsembleForecaster_embedding_nystrom_okhs,13.9152
forecast,37,KernelEnsembleForecaster_embedding_nystrom_okhs,14.1195
forecast,38,KernelEnsembleForecaster_embedding_nystrom_okhs,14.3194
forecast,39,KernelEnsembleForecaster_embedding_nystrom_okhs,14.4699
forecast,40,KernelEnsembleForecaster_embedding_nystrom_okhs,14.5654
forecast,41,KernelEnsembleForecaster_embedding_nystrom_okhs,14.6416
forecast,42,KernelEnsembleForecaster_embedding_nystrom_okhs,14.7647
forecast,43,KernelEnsembleForecaster_embedding_nystrom_okhs,15.01
forecast,44,KernelEnsembleForecaster_embedding_nystrom_okhs,15.436
forecast,45,KernelEnsembleForecaster_embedding_nystrom_okhs,16.0618
forecast,46,KernelEnsembleForecaster_embedding_nystrom_okhs,16.854
forecast,47,KernelEnsembleForecaster_embedding_nystrom_okhs,17.7276
forecast,36,KernelEnsembleForecaster,13.8001
forecast,37,KernelEnsembleForecaster,13.985
forecast,38,KernelEnsembleForecaster,14.1766
forecast,39,KernelEnsembleForecaster,14.3316
forecast,40,KernelEnsembleForecaster,14.4433
forecast,41,KernelEnsembleForecaster,14.5444
forecast,42,KernelEnsembleForecaster,14.6959
forecast,43,KernelEnsembleForecaster,14.9672
forecast,44,KernelEnsembleForecaster,15.4118
forecast,45,KernelEnsembleForecaster,16.0448
forecast,46,KernelEnsembleForecaster,16.8313
forecast,47,KernelEnsembleForecaster,17.6878
