,Power,Sound,Class
0,13.54,48.15,Норма
1,13.54,48.37,Норма
2,13.54,48.37,Норма
3,13.54,48.33,Норма
4,13.53,48.33,Норма
5,13.53,47.75,Норма
6,13.57,47.75,Норма
7,13.57,48.13,Норма
8,13.59,48.13,Норма
9,13.59,48.31,Норма
10,13.57,48.31,Норма
11,13.57,48.49,Норма
12,13.57,47.6,Норма
13,13.59,47.6,Норма
14,13.59,48.35,Норма
15,13.58,48.35,Норма
16,13.58,48.86,Норма
17,13.6,48.86,Норма
18,13.6,50.39,Норма
19,13.55,50.39,Норма
20,13.55,50.07,Норма
21,13.59,50.07,Норма
22,13.59,49.85,Норма
23,13.55,49.85,Норма
24,13.55,52.55,Норма
25,13.6,52.55,Норма
26,13.6,52.57,Норма
27,13.56,52.57,Норма
28,13.56,50.4,Норма
29,13.56,52.1,Норма
30,13.58,52.1,Норма
31,13.58,50.38,Норма
32,13.55,50.38,Норма
33,13.55,49.2,Норма
34,13.55,50.91,Норма
35,13.58,50.91,Норма
36,13.58,50.77,Норма
37,13.58,48.97,Норма
38,13.53,48.97,Норма
39,13.53,50.07,Норма
40,13.52,50.07,Норма
41,13.52,54.25,Норма
42,13.52,48.79,Норма
43,13.55,48.79,Норма
44,13.55,48.82,Норма
45,13.53,48.82,Норма
46,13.53,49.52,Норма
47,13.53,48.03,Норма
48,13.54,48.03,Норма
49,13.54,48.46,Норма
50,13.51,48.46,Норма
51,13.51,48.66,Норма
52,13.56,48.66,Норма
53,13.56,48.7,Норма
54,13.49,48.7,Норма
55,13.49,53.78,Норма
56,13.47,53.78,Норма
57,13.47,51.06,Норма
58,13.48,51.06,Норма
59,13.48,49.21,Норма
60,13.48,48.11,Норма
61,13.48,48.14,Норма
62,13.49,48.14,Норма
63,13.49,48.17,Норма
64,13.52,48.17,Норма
65,13.52,47.65,Норма
66,13.45,47.65,Норма
67,13.45,47.81,Норма
68,13.47,47.81,Норма
69,13.47,47.89,Норма
70,13.39,47.89,Норма
71,13.39,47.7,Норма
72,13.38,47.7,Норма
73,13.38,47.69,Норма
74,13.4,47.69,Норма
75,13.4,47.58,Норма
76,13.39,47.58,Норма
77,13.39,53.06,Норма
78,13.36,53.06,Норма
79,13.36,49.61,Норма
80,13.36,55.15,Норма
81,13.39,55.15,Норма
82,13.39,57.69,Норма
83,13.34,57.69,Норма
84,13.34,49.22,Норма
85,13.32,49.22,Норма
86,13.32,50.54,Норма
87,13.28,50.54,Норма
88,13.28,48.89,Норма
89,13.33,48.89,Норма
90,13.33,47.48,Норма
91,13.26,47.48,Норма
92,13.26,48.05,Норма
93,13.28,48.05,Норма
94,13.28,48.03,Норма
95,13.27,48.03,Норма
96,13.27,48.33,Норма
97,13.32,48.33,Норма
98,13.32,48.9,Норма
99,13.29,48.9,Норма
100,13.29,51.34,Норма
101,13.37,51.34,Норма
102,13.37,49.17,Норма
103,13.31,49.17,Норма
104,13.31,54.01,Норма
105,13.22,54.01,Норма
106,13.22,48.55,Норма
107,13.31,48.55,Норма
108,13.31,52.44,Норма
109,13.33,52.44,Норма
110,13.33,48.32,Норма
111,13.29,48.32,Норма
112,13.29,52.27,Норма
113,13.33,52.27,Норма
114,13.33,48.2,Норма
115,13.34,48.2,Норма
116,13.34,48.11,Норма
117,13.32,48.11,Норма
118,13.32,49.25,Норма
119,13.37,49.25,Норма
120,13.37,47.94,Норма
121,13.39,47.94,Норма
122,13.39,47.83,Норма
123,13.27,47.83,Норма
124,13.27,52.58,Норма
125,13.24,52.58,Норма
126,13.24,48.45,Норма
127,13.2,48.45,Норма
128,13.2,48.11,Норма
129,13.19,48.11,Норма
130,13.19,48.25,Норма
131,13.17,48.25,Норма
132,13.17,47.82,Норма
133,13.19,47.82,Норма
134,13.19,48.07,Норма
135,13.24,48.07,Норма
136,13.24,47.69,Норма
137,13.17,47.69,Норма
138,13.17,48.09,Норма
139,13.21,48.09,Норма
140,13.21,48.71,Норма
141,13.22,48.71,Норма
142,13.22,49.15,Норма
143,13.2,49.15,Норма
144,13.2,48.32,Норма
145,13.2,47.76,Норма
146,13.26,47.76,Норма
147,13.26,48.52,Норма
148,13.22,48.52,Норма
149,13.22,48.01,Норма
150,13.25,48.01,Норма
151,13.25,48.94,Норма
152,13.2,48.94,Норма
153,13.2,47.88,Норма
154,13.2,48.34,Норма
155,13.24,48.34,Норма
156,13.24,48,Норма
157,13.25,48,Норма
158,13.25,47.51,Норма
159,13.21,47.51,Норма
160,13.21,47.78,Норма
161,13.31,47.78,Норма
162,13.31,48.07,Норма
163,13.34,48.07,Норма
164,13.34,48.13,Норма
165,13.31,48.13,Норма
166,13.31,47.62,Норма
167,13.34,47.62,Норма
168,13.34,47.85,Норма
169,13.31,47.85,Норма
170,13.31,49.11,Норма
171,13.28,49.11,Норма
172,13.28,50.47,Норма
173,13.27,50.47,Норма
174,13.27,48.54,Норма
175,13.26,48.54,Норма
176,13.26,47.77,Норма
177,13.37,47.77,Норма
178,13.37,47.8,Норма
179,13.3,47.8,Норма
180,13.3,49.08,Норма
181,13.31,49.08,Норма
182,13.31,48.56,Норма
183,13.32,48.56,Норма
184,13.32,48.36,Норма
185,13.36,48.36,Норма
186,13.36,48.65,Норма
187,13.35,48.65,Норма
188,13.35,47.97,Норма
189,13.31,47.97,Норма
190,13.31,50.21,Норма
191,13.29,50.21,Норма
192,13.29,48.34,Норма
193,13.35,48.34,Норма
194,13.35,49.02,Норма
195,13.35,47.73,Норма
196,13.34,47.73,Норма
197,13.34,47.47,Норма
198,13.35,47.47,Норма
199,13.35,47.57,Норма
200,13.35,48.02,Норма
201,13.3,48.02,Норма
202,13.3,48.09,Норма
203,13.32,48.09,Норма
204,13.32,47.8,Норма
205,13.31,47.8,Норма
206,13.31,47.88,Норма
207,13.33,47.88,Норма
208,13.33,48.97,Норма
209,13.39,48.97,Норма
210,13.39,55.27,Норма
211,13.46,55.27,Норма
212,13.46,47.69,Норма
213,13.39,47.69,Норма
214,13.39,47.7,Норма
215,13.4,47.7,Норма
216,13.4,59.04,Норма
217,13.44,59.04,Норма
218,13.44,48.71,Норма
219,13.39,48.71,Норма
220,13.39,48.06,Норма
221,13.41,48.06,Норма
222,13.41,50.43,Норма
223,13.39,50.43,Норма
224,13.39,49.12,Норма
225,13.43,49.12,Норма
226,13.43,49.2,Норма
227,13.43,47.79,Норма
228,13.45,47.79,Норма
229,13.45,48.6,Норма
230,13.46,48.6,Норма
231,13.46,47.55,Норма
232,13.41,47.55,Норма
233,13.41,48.34,Норма
234,13.41,47.88,Норма
235,13.38,47.88,Норма
236,13.38,48.6,Норма
237,13.39,48.6,Норма
238,13.39,49.53,Норма
239,13.39,48.51,Норма
240,13.38,48.51,Норма
241,13.38,48.08,Норма
242,13.41,48.08,Норма
243,13.41,48.04,Норма
244,13.39,48.04,Норма
245,13.39,48.93,Норма
246,13.5,48.93,Норма
247,13.5,47.64,Норма
248,13.45,47.64,Норма
249,13.45,47.8,Норма
250,13.48,47.8,Норма
251,13.48,47.66,Норма
252,13.45,47.66,Норма
253,13.45,48.09,Норма
254,13.42,48.09,Норма
255,13.42,49.02,Норма
256,13.42,48.34,Норма
257,13.42,47.76,Норма
258,13.46,47.76,Норма
259,13.46,48.7,Норма
260,13.42,48.7,Норма
261,13.42,48.45,Норма
262,13.47,48.45,Норма
263,13.47,48.29,Норма
264,13.52,48.29,Норма
265,13.52,47.77,Норма
266,13.47,47.77,Норма
267,13.47,48.89,Норма
268,13.46,48.89,Норма
269,13.46,47.49,Норма
270,13.49,47.49,Норма
271,13.49,47.79,Норма
272,13.55,47.79,Норма
273,13.55,49.01,Норма
274,13.54,49.01,Норма
275,13.54,50.96,Норма
276,13.53,50.96,Норма
277,13.53,55.58,Норма
278,13.53,52.36,Норма
279,13.51,52.36,Норма
280,13.51,47.96,Норма
281,13.49,47.96,Норма
282,13.49,49.58,Норма
283,13.56,49.58,Норма
284,13.56,48.84,Норма
285,13.51,48.84,Норма
286,13.51,48.09,Норма
287,13.49,48.09,Норма
288,13.49,48.01,Норма
289,13.51,48.01,Норма
290,13.51,50.89,Норма
291,13.48,50.89,Норма
292,13.48,48.33,Норма
293,13.53,48.33,Норма
294,13.53,47.91,Норма
295,13.48,47.91,Норма
296,13.48,47.88,Норма
297,13.53,47.88,Норма
298,13.53,48.75,Норма
299,13.52,48.75,Норма
300,13.52,49.66,Норма
301,13.5,49.66,Норма
302,13.5,48.04,Норма
303,13.5,47.8,Норма
304,13.48,47.8,Норма
305,13.48,49.15,Норма
306,13.48,48.24,Норма
307,13.41,48.24,Норма
308,13.41,48.59,Норма
309,13.54,48.59,Норма
310,13.54,48.18,Норма
311,13.56,48.18,Норма
